constructorId,constructorRef,constructor_name,nationality
1,mclaren,McLaren,British
3,williams,Williams,British
4,renault,Renault,French
5,toro_rosso,Toro Rosso,Italian
6,ferrari,Ferrari,Italian
9,red_bull,Red Bull,Austrian
10,force_india,Force India,Indian
15,sauber,Sauber,Swiss
51,alfa,Alfa Romeo,Swiss
117,aston_martin,Aston Martin,British
131,mercedes,Mercedes,German
164,hrt,HRT,Spanish
166,virgin,Virgin,British
205,lotus_racing,Lotus,Malaysian
206,marussia,Marussia,Russian
207,caterham,Caterham,Malaysian
208,lotus_f1,Lotus F1,British
209,manor,Manor Marussia,British
210,haas,Haas F1 Team,American
211,racing_point,Racing Point,British
213,alphatauri,AlphaTauri,Italian
214,alpine,Alpine F1 Team,French
215,rb,RB F1 Team,Italian
